h3,places
892696ab617ffff,11
892696ab6d3ffff,21
892696ab613ffff,5
892696a9557ffff,9
8926961428bffff,2
8926960294fffff,12
8926960291bffff,1
89269602913ffff,3
89269615a4fffff,1
89269607433ffff,2
89269615a2bffff,1
89269615a0bffff,1
89269615833ffff,4
892696066afffff,2
89269615903ffff,6
892696064c3ffff,21
892696064d7ffff,13
89269615813ffff,2
892696158abffff,1
8926961512fffff,2
89269615cbbffff,1
89269614257ffff,4
89269615d07ffff,3
89269614e63ffff,3
89269614237ffff,7
89269614e03ffff,2
892696a9607ffff,3
892696a9033ffff,44
892696a9083ffff,18
892696a9087ffff,28
892696a942fffff,28
89269614933ffff,26
892696a942bffff,20
892696a9413ffff,3
8926961484bffff,5
89269614863ffff,21
89269614e2fffff,1
89269614e27ffff,2
89269614e3bffff,3
8926961483bffff,2
89269614ca3ffff,11
89269616b43ffff,2
892696ab247ffff,22
892696ab20fffff,5
892696ab283ffff,24
89269616b6fffff,1
892696a8243ffff,48
892696a8293ffff,1
892696a95d3ffff,12
892696ab30fffff,2
892696ab333ffff,13
892696a8643ffff,108
892696a860bffff,3
892696ab3abffff,16
892696ab3a3ffff,3
892696a83d7ffff,13
892696a82a3ffff,1
892696a8457ffff,2
892696ab043ffff,6
892696ab00fffff,7
892696ab14bffff,1
892696ab09bffff,16
892696ab6b3ffff,2
892696ab407ffff,1
892696ab0b7ffff,5
892696ab547ffff,28
892696a84cfffff,28
892696ab18fffff,1
892696ab1bbffff,1
892696ab517ffff,180
892696aa2dbffff,4
89269616a23ffff,16
89269616a33ffff,3
89269616aabffff,3
89269616e0bffff,1
89269616ba3ffff,1
89269616b83ffff,5
89269616873ffff,1
89269616977ffff,1
89269616817ffff,7
892696b9237ffff,8
892696b936bffff,1
892696b939bffff,1
892696b928bffff,1
892696b9073ffff,2
892696ab4dbffff,1
89269606083ffff,1
89269606423ffff,1
89269606433ffff,18
89269606553ffff,1
89269606587ffff,14
892696ab607ffff,228
892696ab6dbffff,7
892696ab68fffff,9
892696ab687ffff,6
892696aae6fffff,1
892696aa36bffff,1
