h3,places
8566a007fffffff,4
8566a507fffffff,8305
85445193fffffff,20
854450a7fffffff,22
85445033fffffff,43
8544562bfffffff,854
85445217fffffff,106
85440a4bfffffff,1
8544e557fffffff,2286
854452d7fffffff,72
8544528bfffffff,900
85445243fffffff,37
8544e193fffffff,424
8544e567fffffff,68
8544e42bfffffff,357
8544e54bfffffff,76
8544e467fffffff,6
8544e023fffffff,82
8544e02bfffffff,15
8544552ffffffff,273
8544426ffffffff,30
85445133fffffff,39
854451cbfffffff,17
8544510bfffffff,5
85445cdbfffffff,66
8544512bfffffff,26
854453b7fffffff,13
85445e9bfffffff,21
85445393fffffff,11
854453abfffffff,10
8544536ffffffff,20
85445eb7fffffff,30
85445e67fffffff,2
8544584ffffffff,19
85445a97fffffff,18
85445a93fffffff,7
85445a9bfffffff,10
85445a17fffffff,291
85266db3fffffff,152
85266d8bfffffff,123
85266c03fffffff,584
85266cabfffffff,26
85266cb3fffffff,344
8544c147fffffff,974
85275d43fffffff,156
85275dcffffffff,332
85275c2bfffffff,110
85275c03fffffff,53
85275cb3fffffff,6888
85274237fffffff,290
852743dbfffffff,274
8527406bfffffff,1251
85274a37fffffff,85
85274bdbfffffff,532
85274843fffffff,1738
85274e03fffffff,222
852748cffffffff,9304
852aa83bfffffff,403
852aa80ffffffff,533
852a1623fffffff,1029
852b8b2ffffffff,60
852a16c3fffffff,163
852a3173fffffff,2613
852a3103fffffff,1080
852a3667fffffff,172
852a364ffffffff,1520
85391d67fffffff,328
85391d2ffffffff,26
85391943fffffff,957
85391973fffffff,1416
8539192bfffffff,341
853919cffffffff,172
85391903fffffff,37
8539198bfffffff,56
85390a47fffffff,246
85390a7bfffffff,164
85390a57fffffff,213
85382483fffffff,13
85390333fffffff,1
8539016bfffffff,28
85390bdbfffffff,170
85390e23fffffff,647
8538241bfffffff,2
8538254bfffffff,1
8538218bfffffff,1
852b811bfffffff,163
852b8023fffffff,16
852b8017fffffff,40
852b80b3fffffff,167
852baa6ffffffff,108
852b8c93fffffff,317
852baa0ffffffff,2630
85195107fffffff,18708
85195103fffffff,2688
85195bb7fffffff,433
85195957fffffff,525
85195913fffffff,6964
851959c3fffffff,771
851959d3fffffff,618
85195877fffffff,8374
85195467fffffff,251
8519540ffffffff,51
851954cbfffffff,133
85197273fffffff,3035
851972abfffffff,395
858c169bfffffff,501
858d8963fffffff,7671
858d8827fffffff,771
858d88a3fffffff,129
858dab5bfffffff,164
858d8c83fffffff,304
858daa73fffffff,120
858d8d53fffffff,244
85b9160ffffffff,6
85b91293fffffff,4
85b9128bfffffff,2
85be495bfffffff,35
85be68cffffffff,2
85be694bfffffff,1153
85be6867fffffff,1
85be684ffffffff,439
85be6aaffffffff,3
85be6aabfffffff,1
85be6b6ffffffff,4
85be6acffffffff,210
85be6a53fffffff,58
85be452ffffffff,2
85be6167fffffff,23
85be6057fffffff,57
85be4577fffffff,7
85be454ffffffff,25
859c2553fffffff,21
859c124bfffffff,1
859d8127fffffff,1
85728377fffffff,1
85729d8ffffffff,1
85728e63fffffff,1
8572aec3fffffff,1
8572aed7fffffff,2
8572ae17fffffff,6
8572f2c3fffffff,1
8572d4a7fffffff,6
