h3,places
8844c33603fffff,1
8844cec9e7fffff,3
8844c33283fffff,8
8844c33769fffff,1
8844c33059fffff,1
8844c33039fffff,1
8844c332a3fffff,1
8844c33081fffff,1
8844c33199fffff,1
8844c3344dfffff,1
8844c3373bfffff,1
8844c33455fffff,1
8844c33547fffff,3
8844c33529fffff,1
8844c3220bfffff,1
8844c32359fffff,1
8844c3231bfffff,1
8844c32005fffff,2
8844c32403fffff,1
8844c32485fffff,1
8844c32511fffff,1
8844c320a3fffff,2
8844c32e4dfffff,4
8844c32ae3fffff,2
8844c328c5fffff,1
8844c32885fffff,1
8844c32eadfffff,4
8844c32d09fffff,1
8844c32d61fffff,1
8844ce502bfffff,1
8844ce51ddfffff,2
8844ce5a89fffff,1
8844ce5a65fffff,1
8844ce5943fffff,2
8844ce5ad3fffff,2
8844ce4339fffff,1
8844c32d91fffff,1
8844dd9605fffff,1
8844dd966dfffff,1
8844dd941dfffff,2
8844ce4c25fffff,2
8844ddb249fffff,1
8844ce490dfffff,23
8844dd8715fffff,5
8844dd8633fffff,2
8844dd8623fffff,1
8844dd8449fffff,10
8844dd8447fffff,1
8844dd8697fffff,3
8844ddb31dfffff,1
8844dd84cdfffff,1
8844dd8407fffff,1
8844dd8415fffff,1
8844dd859bfffff,1
8844ce6b05fffff,1
8844cad221fffff,1
8844ddb519fffff,1
8844ddb13dfffff,1
8844ddb81bfffff,1
8844ddb1bbfffff,1
8844dda36bfffff,2
8844dda325fffff,1
8844ddb4dbfffff,2
8844ce6929fffff,1
8844dda657fffff,2
8844dda639fffff,1
8844dda661fffff,1
8844dda719fffff,2
8844dda585fffff,1
8844dda1bdfffff,1
8844ddaf49fffff,2
8844ddae93fffff,3
8844ddae85fffff,24
8844ddac0bfffff,3
8844ddac15fffff,1
8844c31acdfffff,1
8844c31ac7fffff,3
8844c31a9dfffff,2
8844c30dc3fffff,4
8844c37299fffff,1
8844c3704bfffff,2
8844c37159fffff,2
8844c34269fffff,1
8844c34359fffff,1
8844c34719fffff,1
8844c34123fffff,2
8844c349cbfffff,2
8844c34f6dfffff,1
8844dcb743fffff,1
8844c30c87fffff,3
8844c376e9fffff,3
8844c37647fffff,1
8844c37607fffff,4
8844c362abfffff,1
8844c3601dfffff,1
8844c32957fffff,3
8844c328edfffff,5
8844c329c5fffff,1
8844c32933fffff,1
8844c3645dfffff,2
8844c36e09fffff,3
8844c365d9fffff,1
8844c365a3fffff,1
8844dd9b0bfffff,1
8844dd9b39fffff,2
8844c36c97fffff,7
8844c36ce7fffff,1
8844dcb6c1fffff,1
8844c36a8bfffff,1
8844dcb403fffff,11
8844dcb43bfffff,10
8844dca2c9fffff,1
8844dca281fffff,1
8844dcb4abfffff,1
8844dcb5a3fffff,1
8844dca701fffff,1
8844c36f41fffff,2
8844ddd66dfffff,2
8844c369adfffff,1
8844dca489fffff,2
8844ddd12dfffff,1
8844ddda4bfffff,5
8844dc96adfffff,3
8844dc8169fffff,1
8844dc8167fffff,5
8844dc812bfffff,1
8844dc81d9fffff,1
8844dcbaa1fffff,1
8844dcb927fffff,1
8844dc98a5fffff,2
8844dc8b55fffff,1
8844dc8b1dfffff,1
8844dc8b17fffff,1
8844dcd6b3fffff,1
8844dc8b2dfffff,1
8844dc892bfffff,2
8844dc8927fffff,1
8844dcc2e1fffff,1
8844dcc633fffff,1
8844dcc559fffff,2
8844dc1211fffff,1
8844dc1053fffff,2
8844dc111bfffff,34
8844dc1115fffff,1
8844dc11ebfffff,7
8844dc1183fffff,1
8844dc0319fffff,1
8844dc1a31fffff,1
8844dc0365fffff,1
8844dc0a4bfffff,2
8844dc0b6bfffff,2
8844dca315fffff,1
8844dca019fffff,4
8844dca321fffff,1
8844dcb887fffff,5
8844dcb883fffff,2
8844dca14bfffff,1
8844dca031fffff,4
8844dcae51fffff,2
8844dca131fffff,18
8844dca135fffff,13
8844dcaac5fffff,1
8844dcaa85fffff,3
8844dcaa93fffff,3
8844dcb993fffff,1
8844dcaa69fffff,1
8844dcab07fffff,6
8844dcab3dfffff,9
8844dcab35fffff,3
8844dc15d3fffff,1
8844dca815fffff,5
8844dca83dfffff,1
8844dca9c5fffff,1
8844dcae19fffff,3
8844dcaf07fffff,1
8844dca893fffff,2
8844dddb2dfffff,4
8844dcacd3fffff,2
8844ddd905fffff,1
8844dc3647fffff,1
8844dc3315fffff,1
8844dc3311fffff,1
8844dc309dfffff,1
8844dc31c1fffff,1
8844dc08e7fffff,1
8844dc721dfffff,3
8844dc385dfffff,1
8844dc0db3fffff,1
8844dc72c9fffff,19
8844dc72cdfffff,7
8844dc72d9fffff,1
8844dc7285fffff,3
8844dc723bfffff,71
8844dc72a3fffff,1
8844dd901bfffff,1
8844dd91d5fffff,1
8844dd9a8dfffff,1
8844dd9a93fffff,1
8844dd82adfffff,2
8844dd82a7fffff,1
8844dd82b1fffff,2
8844dd80c1fffff,1
8844dd814dfffff,2
8844dd8109fffff,11
8844dd810dfffff,1
8844dd812bfffff,1
8844dd98cdfffff,3
8844dd9831fffff,7
8844dd99c7fffff,3
8844dd9985fffff,22
8844dd990bfffff,2
8844ddd659fffff,9
8844ddd651fffff,4
8844dd98b9fffff,1
8844dd8a6bfffff,1
8844dd8a31fffff,3
8844dd8ae1fffff,1
8844ddd4ddfffff,7
8844dd8b07fffff,3
8844dd8b15fffff,3
8844dd894dfffff,2
8844ddd495fffff,6
8844dd870dfffff,4
8844dd876dfffff,2
8844dd872dfffff,8
8844dd873bfffff,3
8844dd8735fffff,4
8844dd8507fffff,7
8844dd856dfffff,2
8844dd8e51fffff,2
8844dd8529fffff,8
8844dd8e57fffff,19
8844dd80a5fffff,3
8844dd8f5dfffff,13
8844dd8f1dfffff,1
8844dd8f07fffff,13
8844dd8585fffff,1
8844dd8587fffff,2
8844ddbb67fffff,1
8844dd8c6bfffff,1
8844dd8c03fffff,1
8844dd8c15fffff,1
8844dd8a8bfffff,14
8844dd8aabfffff,2
8844dd8a97fffff,2
8844dd8a93fffff,1
8844dd8ab3fffff,2
8844dd8f05fffff,10
8844dd88d7fffff,2
8844dd888bfffff,1
8844dd1249fffff,1
8844dd898dfffff,1
8844dd899dfffff,2
8844dd8d47fffff,9
8844dd1203fffff,1
8844ddd60dfffff,1
8844ddd663fffff,1
8844ddd5cdfffff,1
8844ddd509fffff,11
8844ddc65dfffff,2
8844ddc66dfffff,1
8844ddc75bfffff,2
8844ddd5a3fffff,1
8844ddc707fffff,18
8844ddc08bfffff,1
8844ddc347fffff,1
8844ddc151fffff,1
8844ddc153fffff,1
8844ddc119fffff,1
8844ddc1bbfffff,1
8844ddcae5fffff,1
8844ddc6e9fffff,1
8844ddc449fffff,1
8844ddc637fffff,1
8844ddc407fffff,7
8844dd1365fffff,2
8844ddc461fffff,5
8844ddc731fffff,1
8844ddc58bfffff,1
8844dd1329fffff,2
8844dd1a4bfffff,1
8844dd1aedfffff,2
8844dd1a0dfffff,1
8844dd1841fffff,2
8844dd186bfffff,20
8844ddce45fffff,1
8844ddce27fffff,1
8844ddce33fffff,2
8844ddcc51fffff,15
8844ddcc63fffff,2
8844ddc8d7fffff,1
8844ddcd55fffff,1
8844dd5253fffff,2
8844ddceb7fffff,1
8844ddccc7fffff,1
8844dd1b25fffff,1
8844ddcc89fffff,2
8844ddccebfffff,6
8844ddcd93fffff,5
8844dd574bfffff,3
8844ddb809fffff,1
8844ddb86dfffff,4
8844ddb865fffff,4
8844ddb80bfffff,1
8844dd8ca3fffff,6
8844ddab41fffff,3
8844ddaa09fffff,5
8844dd1755fffff,1
8844dd146bfffff,1
8844dd11d9fffff,4
8844dd024dfffff,11
8844dd1193fffff,3
8844dd11b1fffff,3
8844dd0259fffff,4
8844dd025dfffff,2
8844dd15b7fffff,1
8844dd023bfffff,2
8844dd06c9fffff,1
8844dd0533fffff,1
8844dd0e1dfffff,1
8844dd312bfffff,1
8844dd3a05fffff,1
8844dd3a29fffff,1
8844dd3a2bfffff,2
8844dd1adbfffff,3
8844dd11abfffff,57
8844dd1addfffff,1
8844dd11a5fffff,8
8844dd1ad7fffff,16
8844dd1a89fffff,4
8844dd0319fffff,1
8844dd1919fffff,5
8844dd19c3fffff,5
8844dd19bbfffff,4
8844dd0b59fffff,12
8844dd0029fffff,2
8844dd01c5fffff,2
8844dd01edfffff,1
8844dd0859fffff,1
8844dd56cbfffff,97
8844dd19e7fffff,34
8844dd5433fffff,40
8844dd5539fffff,6
8844dd55e1fffff,1
8844dd55d7fffff,4
8844dd0b29fffff,3
8844dd0b2bfffff,1
8844dd0b17fffff,18
8844dd0b27fffff,1
8844dd54bbfffff,3
8844dd0911fffff,7
8844dd0917fffff,2
8844dd0963fffff,1
8844dd54bdfffff,13
8844dd4669fffff,21
8844dd4653fffff,2
8844dd462bfffff,4
8844dd4623fffff,8
8844dd089dfffff,2
8844dd08b9fffff,1
8844dd0c27fffff,1
8844dd0ca1fffff,1
8844dd0dbdfffff,2
8844dd0991fffff,1
8844dd0983fffff,7
8844dd723dfffff,4
8844dd4687fffff,1
8844dd44e1fffff,6
8844dd4433fffff,2
8844dd44ddfffff,3
8844dd4489fffff,1
8844dd7327fffff,1
8844dd4491fffff,2
8844dd70e5fffff,1
8844dd71c3fffff,1
8844dd7a0dfffff,1
8844ddd9e1fffff,1
8844dc34d3fffff,4
8844dc3485fffff,1
8844dc35c3fffff,1
8844ddc8e3fffff,1
8844dc2667fffff,1
8844dc26d5fffff,1
8844dc241dfffff,1
8844dc3563fffff,3
8844dc22c7fffff,10
8844dc22d3fffff,1
8844dc2055fffff,14
8844dc2003fffff,3
8844dc2119fffff,1
8844dc2747fffff,1
8844dc2e4dfffff,1
8844ddc8a1fffff,6
8844dd522bfffff,2
8844dd523dfffff,2
8844dd531dfffff,3
8844dd5061fffff,1
8844dd50d5fffff,1
8844dd508bfffff,6
8844dd5089fffff,1
