h3,_max,_min,_avg
8729a9135ffffff,1163,1163,1163.0
8729a8b89ffffff,330,327,328.5
8729a8a16ffffff,392,392,392.0
8729aec23ffffff,1586,1075,1330.5
8729aec43ffffff,2348,2348,2348.0
8729aecc5ffffff,1859,1859,1859.0
8729ae0e0ffffff,1382,1382,1382.0
8729aab09ffffff,970,970,970.0
8729aab0affffff,754,754,754.0
8729ae388ffffff,1163,1163,1163.0
8729ae2d6ffffff,1907,1907,1907.0
8729ae60dffffff,2963,2963,2963.0
8729aad25ffffff,2870,2870,2870.0
8729aa831ffffff,3061,3061,3061.0
8729aa8eeffffff,2854,2854,2854.0
8729aa126ffffff,4205,4205,4205.0
8729aad42ffffff,2845,2845,2845.0
872830b11ffffff,369,369,369.0
87283084bffffff,784,784,784.0
872830846ffffff,339,238,288.5
87283085effffff,185,185,185.0
8729a9a68ffffff,549,549,549.0
872834113ffffff,80,80,80.0
872834190ffffff,541,541,541.0
872834562ffffff,780,780,780.0
87283455dffffff,494,494,494.0
8729a9aebffffff,782,782,782.0
8729a9af3ffffff,1016,1016,1016.0
8729a9252ffffff,581,581,581.0
872834413ffffff,1044,1044,1044.0
8729a9211ffffff,1001,1001,1001.0
87283439bffffff,703,703,703.0
872834729ffffff,153,153,153.0
872834290ffffff,63,63,63.0
87283478bffffff,793,793,793.0
872836b45ffffff,1051,1051,1051.0
8728346eeffffff,289,285,287.0
87283088affffff,338,338,338.0
87283089effffff,452,452,452.0
87283684effffff,807,807,807.0
87283680effffff,213,213,213.0
872831ce5ffffff,37,37,37.0
872831cc8ffffff,421,416,418.5
872830a66ffffff,408,408,408.0
872831d12ffffff,67,67,67.0
872830b1bffffff,421,421,421.0
872830a13ffffff,251,251,251.0
872830a1bffffff,376,376,376.0
872831cd4ffffff,279,279,279.0
872831529ffffff,495,495,495.0
872830204ffffff,833,833,833.0
8728302adffffff,184,184,184.0
872831296ffffff,815,815,815.0
87283174effffff,630,630,630.0
8728310acffffff,246,246,246.0
872831721ffffff,743,743,743.0
872831441ffffff,556,556,556.0
872831719ffffff,760,760,760.0
8728316b1ffffff,832,832,832.0
8728314c1ffffff,720,720,720.0
872833b04ffffff,1310,1200,1280.75
8728338e4ffffff,570,570,570.0
872833b45ffffff,535,535,535.0
872833a2affffff,962,962,962.0
872833a5cffffff,610,610,610.0
