h3,road_complexity
8844c061bdfffff,3
8844c06e0dfffff,1
8844c06e01fffff,1
8844c06aa7fffff,2
8844c3d24dfffff,1
8844c06e27fffff,1
8844c06c55fffff,4
8844c06ce7fffff,4
8844c06c39fffff,2
8844c06c27fffff,1
8844c06d19fffff,1
8844c06d85fffff,1
8844c0682dfffff,3
8844c0693dfffff,1
8844c069bbfffff,1
8844c3d245fffff,1
8844c3d20dfffff,1
8844c3d263fffff,2
8844c3d22bfffff,1
8844c3d001fffff,1
8844c3d151fffff,4
8844c3d111fffff,3
8844c2a4dbfffff,4
8844c3d13dfffff,9
8844c3da15fffff,10
8844c2b0a7fffff,3
8844c2b54dfffff,1
8844c2b547fffff,1
8844c2b187fffff,3
8844c2a30bfffff,3
8844c2b533fffff,3
8844c2a741fffff,2
8844c2a2bdfffff,1
8844c2a1e1fffff,1
8844c2a1e7fffff,1
8844c2a1abfffff,42
8844c2b881fffff,1
8844c2b8a9fffff,16
8844c2b8abfffff,22
8844c2a16dfffff,1
8844c2b9b3fffff,1
8844c2b93bfffff,1
8844c2b933fffff,1
8844c2aa27fffff,1
8844c2aae7fffff,14
8844c2aa97fffff,1
8844c2a85dfffff,2
8844c2ab57fffff,2
8844c2ab35fffff,2
8844c2a90bfffff,1
8844c2a939fffff,1
8844c206c9fffff,5
8844c2a733fffff,2
8844c2a50bfffff,2
8844c2aed9fffff,1
8844c2ae89fffff,1
8844c2a0a3fffff,1
8844c2a193fffff,1
8844c2af01fffff,7
8844c2ac25fffff,8
8844c2aed7fffff,2
8844c3da21fffff,11
8844c3db09fffff,1
8844c3db39fffff,2
8844c3db33fffff,4
8844c2ace3fffff,3
8844c2add3fffff,12
8844c2ac89fffff,1
8844c2364dfffff,11
8844c2aab7fffff,15
8844c2a8bdfffff,1
8844c2a893fffff,10
8844c2ad0dfffff,3
8844c2a8b7fffff,1
8844c2325bfffff,3
8844c2a9a1fffff,1
8844c2a9a3fffff,5
8844c23205fffff,1
8844c23239fffff,1
8844c2330bfffff,12
8844c232d7fffff,3
8844c2329bfffff,11
8844c232b7fffff,4
8844c2376dfffff,1
8844c23059fffff,1
8844c232adfffff,4
8844c23053fffff,4
8844c23065fffff,1
8844c2308dfffff,5
8844c230a1fffff,2
8844c06cadfffff,1
8844c06ca3fffff,1
8844c3d645fffff,4
8844c3d611fffff,4
8844c3993dfffff,2
8844c3d617fffff,1
8844c06da3fffff,2
8844c3d299fffff,1
8844c3d2b1fffff,2
8844c3d0c3fffff,8
8844c3d73bfffff,1
8844c3d549fffff,1
8844c3d6e5fffff,1
8844c3d4c5fffff,5
8844c3d411fffff,1
8844c3d43bfffff,1
8844c38b63fffff,1
8844c3d4e3fffff,13
8844c3d4e7fffff,4
8844c3d4b9fffff,9
8844c3d4a1fffff,5
8844c3d4a3fffff,4
8844c3d5c5fffff,6
8844c3d537fffff,3
8844c3c645fffff,2
8844c3d597fffff,1
8844c3d1c1fffff,5
8844c3d113fffff,1
8844c3d187fffff,1
8844c3d0a7fffff,1
8844c3c253fffff,2
8844c3d1bbfffff,1
8844c3dacbfffff,22
8844c3dab3fffff,16
8844c3c21bfffff,2
8844c3c2ebfffff,2
8844c3c2e1fffff,4
8844c3d8bbfffff,1
8844c3c035fffff,2
8844c3c1c5fffff,5
8844c3cac9fffff,3
8844c38901fffff,2
